quad_no,Row,1,2,3,4,5,6,7,8,9,10
5,90,Juncsqua,Juncsqua,Juncsqua,Juncsqua,Juncsqua,Agrocapi,Anthodor,Nardstri,Nardstri,Juncsqua
5,100,Juncsqua,Juncsqua,Juncsqua,Juncsqua,Juncsqua,Juncsqua,Molicaer,Juncsqua,Juncsqua,Anthodor
,,,,,,,,,,,
6,10,Molicaer,Molicaer,Carenigr,Eriovagi,Polycomm,Eriovagi,Eriovagi,Eriovagi,Molicaer,Molicaer
6,20,Molicaer,Eriovagi,Polycomm,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Molicaer,DEAD
6,30,Eriovagi,Polycomm,Polycomm,Polycomm,Polycomm,Eriovagi,Eriovagi,Molicaer,Sphafall,Molicaer
6,40,Polycomm,Polycomm,Polycomm,Eriovagi,Sphacapi,Eriovagi,Molicaer,Eriovagi,Molicaer,Molicaer
6,50,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Molicaer,Eriovagi,Eriovagi
6,60,Molicaer,Sphafall,Eriovagi,Polycomm,Eriovagi,Eriovagi,Molicaer,Molicaer,Eriovagi,Eriovagi
6,70,Molicaer,Molicaer,Carenigr,Sphafall,Sphafall,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi
6,80,Molicaer,Carenigr,Sphafall,Sphafall,Sphafall,Molicaer,Eriovagi,Eriovagi,Eriovagi,Molicaer
6,90,Molicaer,Molicaer,Sphafall,Sphafall,Sphafall,Carenigr,Molicaer,Molicaer,Molicaer,Molicaer
6,100,Molicaer,Sphafall,Sphafall,Sphafall,Sphafall,Sphafall,Molicaer,Molicaer,Molicaer,Molicaer
,,,,,,,,,,,
7,10,Molicaer,Molicaer,Molicaer,Sphafall,Sphafall,Sphafall,Polycomm,Polycomm,Polycomm,Eriovagi
7,20,Sphafall,Molicaer,Sphafall,Sphafall,Eriovagi,Eriovagi,Eriovagi,Polycomm,Polycomm,Eriovagi
7,30,Sphapalu,Sphapalu,Sphafall,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Polycomm,Polycomm,Polycomm
7,40,Sphapalu,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Sphapalu,Sphapalu
7,50,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Poteerec,Sphapalu,Sphapalu,Eriovagi
7,60,Eriovagi,DEAD,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Molicaer,Molicaer
7,70,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Poteerec,Eriovagi,Poteerec,Molicaer
7,80,DEAD,Poteerec,Descflex,Descflex,Descflex,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Molicaer
7,90,Molicaer,Descflex,Poteerec,Poteerec,Poteerec,Poteerec,Descflex,Eriovagi,Eriovagi,Eriovagi
7,100,Molicaer,Molicaer,Descflex,Sphapalu,Sphapalu,Sphapalu,Descflex,Descflex,Descflex,Eriovagi
,,,,,,,,,,,
8,10,Erictetr,Molicaer,Juncsqua,Juncsqua,Descflex,Descflex,Molicaer,Juncsqua,Juncsqua,Juncsqua
8,20,Juncsqua,Juncsqua,Juncsqua,Juncsqua,Molicaer,Molicaer,Molicaer,Juncsqua,Descflex,Descflex
8,30,Molicaer,Juncsqua,Juncsqua,Juncsqua,Molicaer,Descflex,Molicaer,Descflex,Juncsqua,Juncsqua
8,40,Molicaer,Juncsqua,Descflex,Juncsqua,Erictetr,Descflex,Juncsqua,Descflex,Descflex,Descflex
8,50,Molicaer,Molicaer,Sphapalu,Erictetr,Erictetr,Descflex,Juncsqua,Descflex,Descflex,Descflex
8,60,Molicaer,Erictetr,Erictetr,Sphapalu,Erictetr,Erictetr,Descflex,Descflex,Descflex,Descflex
8,70,Molicaer,Sphapalu,Sphapalu,Sphapalu,Vaccmyrt,Erictetr,Erictetr,Erictetr,Sphapalu,Erictetr
8,80,Erictetr,Sphapalu,Sphapalu,Sphapalu,Sphapalu,Erictetr,Erictetr,Erictetr,Molicaer,Callvulg
8,90,Erictetr,Molicaer,Vaccmyrt,Sphapalu,Descflex,Erictetr,Molicaer,Molicaer,Molicaer,Molicaer
8,100,Molicaer,Molicaer,Callvulg,Callvulg,Callvulg,Erictetr,Molicaer,Molicaer,Molicaer,Molicaer
,,,,,,,,,,,
9,10,Callvulg,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Eriovagi,Callvulg
9,20,Callvulg,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Callvulg,Callvulg,Callvulg,Molicaer
9,30,Molicaer,Callvulg,Callvulg,Callvulg,Eriovagi,Eriovagi,Callvulg,Callvulg,Eriovagi,Callvulg
9,40,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Molicaer,Callvulg,Callvulg
9,50,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
9,60,Molicaer,Callvulg,Callvulg,Molicaer,Callvulg,Callvulg,Callvulg,Molicaer,Callvulg,Callvulg
9,70,Molicaer,Molicaer,Callvulg,Callvulg,Callvulg,Callvulg,Molicaer,Molicaer,Callvulg,Callvulg
9,80,Molicaer,Molicaer,Callvulg,Molicaer,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
9,90,Molicaer,Molicaer,Molicaer,Molicaer,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Descflex
9,100,Callvulg,Callvulg,Eriovagi,Eriovagi,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg,Callvulg
,,,,,,,,,,,
10,10,Agrocapi,Nardstri,Festovin,Nardstri,Anthodor,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri
10,20,Agrocapi,Descflex,Poteerec,Nardstri,Nardstri,Nardstri,Nardstri,Anthodor,Nardstri,Descflex
10,30,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Anthodor,Anthodor,Poteerec,Nardstri,Nardstri
10,40,Nardstri,Nardstri,Nardstri,Nardstri,DEAD,DEAD,Anthodor,Anthodor,Nardstri,Nardstri
10,50,DEAD,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri
10,60,Anthodor,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri
10,70,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri,Nardstri
10,80,Nardstri,Agrocapi,Nardstri,Descflex,Festovin,Festovin,Nardstri,Nardstri,Anthodor,Nardstri
10,90,Nardstri,Nardstri,Agrocapi,Nardstri,Festovin,Nardstri,Nardstri,Nardstri,Festovin,Nardstri
10,100,Nardstri,Poteerec,Anthodor,Nardstri,Nardstri,Nardstri,Agrocapi,Nardstri,Nardstri,Nardstri
,,,,,,,,,,,
11,10,Nardstri,Nardstri,Nardstri,Nardstri,Callvulg,Nardstri,Nardstri,Nardstri,Carenigr,Carenigr
11,20,Nardstri,Callvulg,Nardstri,Nardstri,Callvulg,Nardstri,Carenigr,Carenigr,Carenigr,Carenigr
11,30,Nardstri,Nardstri,Nardstri,Callvulg,Callvulg,Carenigr,Anthodor,Carenigr,Carenigr,Carenigr
11,40,Nardstri,Molicaer,Callvulg,Callvulg,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr,Carenigr
