quad_no,Row,10,20,30,40,50,60,70,80,90,100
6,10,Eriovagi,Polycomm,Descflex,Molicaer,Eriovagi,Carenigr,Molicaer,Molicaer,Eriovagi,Molicaer
6,20,Eriovagi,Polycomm,Polycomm,Eriovagi,Polycomm,Molicaer,Molicaer,Molicaer,Sphafall,Molicaer
6,30,Molicaer,Molicaer,Eriovagi,Carenigr,Sphafall,Molicaer,Molicaer,Sphafall,Carenigr,Sphafall
6,40,Eriovagi,Eriovagi,Molicaer,Carenigr,Eriovagi,Molicaer,Eriovagi,Molicaer,Carenigr,Eriovagi
6,50,Carenigr,Polycomm,Molicaer,Carenigr,Polycomm,Polycomm,Molicaer,Eriovagi,Molicaer,Molicaer
6,60,Eriovagi,Molicaer,Molicaer,Molicaer,Polycomm,Carenigr,Eriovagi,Eriovagi,Molicaer,Molicaer
6,70,Eriovagi,Polycomm,Eriovagi,Molicaer,Carenigr,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer
6,80,Carenigr,Sphafall,Carenigr,Polycomm,Sphafall,Molicaer,Molicaer,Molicaer,Molicaer,Eriovagi
6,90,Eriovagi,Eriovagi,Molicaer,Carenigr,Carenigr,Molicaer,DEAD,Eriovagi,Eriovagi,Eriovagi
6,100,Eriovagi,Molicaer,Molicaer,Carenigr,Molicaer,Molicaer,Sphafall,Eriovagi,Eriovagi,Eriovagi
,,,,,,,,,,,
7,10,Sphafall,Sphafall,Sphafall,Molicaer,Erioangu,Eriovagi,Sphafall,Descflex,Sphafall,
7,20,Eriovagi,Sphafall,Molicaer,Eriovagi,Sphafall,Carenigr,Polycomm,Agrocapi,Agrocapi,Polycomm
7,30,Erioangu,Molicaer,Molicaer,Sphafall,,,Polycomm,Eriovagi,Carenigr,Molicaer
7,40,Callvulg,Molicaer,Molicaer,Molicaer,,Descflex,Polycomm,Sphafall,Carenigr,Descflex
7,50,Callvulg,Callvulg,Descflex,Descflex,,Poteerec,DEAD,Carenigr,Erioangu,Molicaer
7,60,Descflex,Eriovagi,Descflex,Descflex,Descflex,Poteerec,DEAD,Poteerec,Molicaer,Poteerec
7,70,Descflex,Descflex,Descflex,Descflex,Poteerec,Poteerec,Eriovagi,Poteerec,Molicaer,Poteerec
7,80,Molicaer,DEAD,Poteerec,Poteerec,Poteerec,Descflex,Molicaer,Molicaer,Molicaer,Eriovagi
7,90,Descflex,Molicaer,Carenigr,Descflex,Descflex,Sphafall,Sphafall,Descflex,,
7,100,Descflex,Poteerec,Poteerec,Poteerec,Carenigr,Descflex,Sphafall,Sphafall,Poteerec,Molicaer
,,,,,,,,,,,
8,10,Molicaer,Descflex,Molicaer,Molicaer,Molicaer,Erictetr,Descflex,Erictetr,Molicaer,Molicaer
8,20,Molicaer,Molicaer,Molicaer,Molicaer,Juncsqua,Descflex,Descflex,Molicaer,Juncsqua,Molicaer
8,30,Descflex,Molicaer,Molicaer,Molicaer,Erictetr,Molicaer,Juncsqua,Molicaer,Descflex,Molicaer
8,40,Juncsqua,Molicaer,Molicaer,Descflex,Molicaer,Molicaer,Molicaer,Juncsqua,Vaccmyrt,Molicaer
8,50,Erictetr,Descflex,Molicaer,Molicaer,Descflex,Molicaer,Molicaer,Molicaer,Poteerec,Descflex
8,60,Erictetr,Descflex,Sphapalu,Molicaer,Molicaer,Molicaer,Molicaer,Molicaer,Erictetr,Erictetr
8,70,Sphapalu,Vaccmyrt,Molicaer,Erictetr,Erictetr,Molicaer,Molicaer,Molicaer,Erictetr,Molicaer
8,80,Sphapalu,Erioangu,Molicaer,Descflex,Molicaer,Molicaer,Molicaer,Molicaer,Erictetr,Molicaer
